m,k,n,dtype,
1,64,64,float16,
1,128,128,float16,
1,256,256,float16,
1,512,512,float16,
1,1024,1024,float16,
1,2048,2048,float16,
1,64,256,float16,
32,4096,32,float16,
64,4096,64,float16,
64,64,256,float16,
64,64,64,float16,
64,128,128,float16,
64,256,256,float16,
64,512,512,float16,
64,1024,1024,float16,
64,2048,2048,float16,
128,4096,128,float16,
128,64,256,float16,
128,64,64,float16,
128,128,128,float16,
128,256,256,float16,
128,512,512,float16,
128,1024,1024,float16,
128,2048,2048,float16,
256,4096,256,float16,
256,64,256,float16,
256,64,64,float16,
256,128,128,float16,
256,256,256,float16,
256,512,512,float16,
256,1024,1024,float16,
256,2048,2048,float16,
512,4096,512,float16,
512,64,256,float16,
512,64,64,float16,
512,128,128,float16,
512,256,256,float16,
512,512,512,float16,
512,1024,1024,float16,
512,2048,2048,float16,
1024,1024,1024,float16,
1024,4096,1024,float16,
1024,1024,1024,float16,
1024,64,256,float16,
1024,64,64,float16,
1024,128,128,float16,
1024,256,256,float16,
1024,512,512,float16,
1024,1024,1024,float16,
1024,2048,2048,float16,
2048,4096,2048,float16,
2048,64,256,float16,
2048,64,64,float16,
2048,128,128,float16,
2048,256,256,float16,
2048,512,512,float16,
2048,1024,1024,float16,
2048,2048,2048,float16,
4096,4096,4096,float16,
4096,32,4096,float16,
4096,64,4096,float16,
4096,128,4096,float16,
4096,256,4096,float16,
4096,512,4096,float16,
4096,1024,4096,float16,
4096,2048,4096,float16,
4096,4096,4096,float16,
4096,8192,4096,float16,
8192,4096,8192,float16,
27648,4096,128,float16,
27648,4096,256,float16,
27648,4096,512,float16,
